Title line:"Rana cascadae microsatellites"
SCF120
RC287
RP193
SCF134
RP123
RC174
SCF128
RP17
Pop
  Pop3, 0205 0202 0607 1125 0101 0202 0607 0103
  Pop3, 0206 0203 0506 1824 0101 0202 0205 0101
  Pop3, 0205 0203 0607 1623 0101 0202 0707 0303
  Pop3, 0106 0203 0307 1125 0101 0202 0307 0102
  Pop3, 0205 0202 0607 1818 0101 0202 0207 0101
  Pop3, 0102 0202 0411 0918 0101 0202 0407 0203
  Pop3, 0505 0202 0606 1818 0101 0202 0205 0203
  Pop3, 0506 0202 0707 1818 0101 0202 0205 0103
  Pop3, 0811 0202 0307 1820 0101 0202 0207 0101
  Pop3, 0505 0202 0506 1825 0101 0202 0202 0303
  Pop3, 0506 0204 1111 1824 0101 0202 0506 0102
  Pop3, 0510 0202 0708 2021 0101 0202 0207 0203
  Pop3, 0505 0303 0607 2324 0101 0202 0206 0103
  Pop3, 0106 0202 1111 0716 0000 0202 0406 0103
  Pop3, 0505 0203 0606 2123 0101 0202 0207 0202
  Pop3, 0405 0304 0707 1821 0101 0202 0202 0102
  Pop3, 0510 0304 0303 1118 0101 0202 0707 0203
  Pop3, 0505 0304 0506 1116 0101 0202 0203 0202
  Pop3, 0101 0204 1111 0707 0000 0202 0404 0303
  Pop3, 0405 0203 0708 1116 0101 0202 0707 0101
  Pop3, 0205 0202 0607 1120 0101 0202 0505 0101
  Pop3, 0101 0000 1111 0507 0000 0202 0404 0303
  Pop3, 0105 0404 0811 0711 0101 0202 0404 0303
  Pop3, 0205 0203 0606 2324 0000 0202 0207 0101
  Pop3, 0506 0203 0606 1623 0101 0202 0202 0303
  Pop3, 0505 0303 0306 2325 0000 0202 0303 0103
  Pop3, 0101 0000 1111 0709 0000 0000 0404 0303
  Pop3, 0505 0303 0607 1118 0101 0202 0707 0103
  Pop3, 0505 0202 1212 2324 0101 0202 0202 0102
  Pop3, 0205 0203 0608 1823 0101 0202 0205 0103
  Pop3, 0505 0303 0405 2324 0101 0202 0202 0101
