Title line:"Rana cascadae microsatellites"
SCF120
RC287
RP193
SCF134
RP123
RC174
SCF128
RP17
Pop
  Pop1, 0202 0303 0808 2020 0101 0202 0406 0000
  Pop1, 0203 0303 0809 2020 0101 0202 0404 0000
  Pop1, 0203 0203 0712 1120 0101 0202 0506 0102
  Pop1, 0203 0203 0505 1616 0101 0202 0406 0000
  Pop1, 0303 0303 0505 1616 0101 0202 0406 0202
  Pop1, 0203 0303 0411 1020 0101 0202 0406 0101
  Pop1, 0202 0303 0712 1620 0101 0202 0404 0202
  Pop1, 0303 0303 1212 2020 0101 0202 0506 0000
  Pop1, 0303 0202 0508 1620 0000 0202 0506 0000
  Pop1, 0306 0000 0509 1620 0101 0202 0506 0202
  Pop1, 0202 0303 0812 2020 0101 0202 0406 0202
  Pop1, 0202 0303 1212 2020 0101 0202 0506 0000
  Pop1, 0303 0203 1212 2020 0101 0202 0606 0202
  Pop1, 0203 0203 0912 1616 0101 0202 0506 0000
  Pop1, 0000 0000 0000 0000 0000 0202 0000 0000
  Pop1, 0306 0303 0512 1616 0101 0202 0406 0202
  Pop1, 0203 0303 0707 1116 0101 0202 0404 0000
  Pop1, 0206 0303 0507 1116 0101 0202 0506 0102
  Pop1, 0202 0203 0508 1616 0101 0202 0406 0202
  Pop1, 0306 0303 0512 1020 0101 0202 0404 0202
  Pop1, 0202 0303 0508 1620 0101 0202 0405 0202
  Pop1, 0203 0303 0709 1116 0101 0202 0406 0202
  Pop1, 0203 0303 0912 0000 0101 0202 0406 0000
  Pop1, 0206 0303 0707 0000 0101 0202 0506 0000
  Pop1, 0303 0303 1112 0000 0101 0202 0406 0202
